implementation,n,nsweeps,workers,iteration,time_s
threads,1025,15000,2,1,0.147400
threads,4097,15000,2,1,0.269730
threads,16385,15000,2,1,0.797256
threads,131073,15000,2,1,5.552951
threads,1048577,15000,2,1,43.318194
threads,4194305,15000,2,1,208.643343
threads,1025,15000,2,2,0.146319
threads,4097,15000,2,2,0.262616
threads,16385,15000,2,2,0.794394
threads,131073,15000,2,2,5.660229
threads,1048577,15000,2,2,43.641619
threads,4194305,15000,2,2,236.980019
threads,1025,15000,2,3,0.157587
threads,4097,15000,2,3,0.282714
threads,16385,15000,2,3,0.792551
threads,131073,15000,2,3,5.727233
threads,1048577,15000,2,3,44.810344
threads,4194305,15000,2,3,232.540622
threads,1025,15000,2,4,0.147009
threads,4097,15000,2,4,0.263676
threads,16385,15000,2,4,0.795364
threads,131073,15000,2,4,5.670249
threads,1048577,15000,2,4,43.645619
threads,4194305,15000,2,4,236.982119
threads,1025,15000,2,5,0.158597
threads,4097,15000,2,5,0.282924
threads,16385,15000,2,5,0.793531
threads,131073,15000,2,5,5.721233
threads,1048577,15000,2,5,44.812344
threads,4194305,15000,2,5,231.550622
threads,1025,15000,4,1,0.155365
threads,4097,15000,4,1,0.209165
threads,16385,15000,4,1,0.530699
threads,131073,15000,4,1,3.049158
threads,1048577,15000,4,1,23.676287
threads,4194305,15000,4,1,133.813551
threads,1025,15000,4,2,0.146516
threads,4097,15000,4,2,0.205105
threads,16385,15000,4,2,0.494245
threads,131073,15000,4,2,2.987520
threads,1048577,15000,4,2,23.453767
threads,4194305,15000,4,2,140.464524
threads,1025,15000,4,3,0.145641
threads,4097,15000,4,3,0.226969
threads,16385,15000,4,3,0.487956
threads,131073,15000,4,3,2.959542
threads,1048577,15000,4,3,23.816803
threads,4194305,15000,4,3,134.646854
threads,1025,15000,4,4,0.145916
threads,4097,15000,4,4,0.206115
threads,16385,15000,4,4,0.493255
threads,131073,15000,4,4,2.988521
threads,1048577,15000,4,4,23.454467
threads,4194305,15000,4,4,139.464524
threads,1025,15000,4,5,0.143641
threads,4097,15000,4,5,0.226979
threads,16385,15000,4,5,0.487116
threads,131073,15000,4,5,2.959511
threads,1048577,15000,4,5,23.806003
threads,4194305,15000,4,5,135.636454
threads,1025,15000,8,1,0.185314
threads,4097,15000,8,1,0.215376
threads,16385,15000,8,1,0.432794
threads,131073,15000,8,1,2.499138
threads,1048577,15000,8,1,15.536626
threads,4194305,15000,8,1,116.833638
threads,1025,15000,8,2,0.169849
threads,4097,15000,8,2,0.216204
threads,16385,15000,8,2,0.442883
threads,131073,15000,8,2,2.472708
threads,1048577,15000,8,2,15.839137
threads,4194305,15000,8,2,110.365828
threads,1025,15000,8,3,0.175756
threads,4097,15000,8,3,0.210797
threads,16385,15000,8,3,0.439142
threads,131073,15000,8,3,2.500539
threads,1048577,15000,8,3,15.623643
threads,4194305,15000,8,3,109.891034
threads,1025,15000,8,4,0.169149
threads,4097,15000,8,4,0.216304
threads,16385,15000,8,4,0.443903
threads,131073,15000,8,4,2.482108
threads,1048577,15000,8,4,15.839147
threads,4194305,15000,8,4,109.355528
threads,1025,15000,8,5,0.175766
threads,4097,15000,8,5,0.210887
threads,16385,15000,8,5,0.440002
threads,131073,15000,8,5,2.501009
threads,1048577,15000,8,5,15.625993
threads,4194305,15000,8,5,109.889034
threads,1025,15000,16,1,0.248110
threads,4097,15000,16,1,0.337139
threads,16385,15000,16,1,0.537943
threads,131073,15000,16,1,2.278720
threads,1048577,15000,16,1,14.976246
threads,4194305,15000,16,1,113.313586
threads,1025,15000,16,2,0.261234
threads,4097,15000,16,2,0.344320
threads,16385,15000,16,2,0.530856
threads,131073,15000,16,2,2.276661
threads,1048577,15000,16,2,15.958901
threads,4194305,15000,16,2,114.189542
threads,1025,15000,16,3,0.264067
threads,4097,15000,16,3,0.346546
threads,16385,15000,16,3,0.535375
threads,131073,15000,16,3,2.306765
threads,1048577,15000,16,3,15.543641
threads,4194305,15000,16,3,113.245083
threads,1025,15000,16,4,0.251244
threads,4097,15000,16,4,0.345300
threads,16385,15000,16,4,0.531006
threads,131073,15000,16,4,2.269661
threads,1048577,15000,16,4,15.959001
threads,4194305,15000,16,4,114.189600
threads,1025,15000,16,5,0.262077
threads,4097,15000,16,5,0.346996
threads,16385,15000,16,5,0.535995
threads,131073,15000,16,5,2.316995
threads,1048577,15000,16,5,15.506021
threads,4194305,15000,16,5,114.295483

