implementation,n,nsweeps,workers,iteration,time_s
seq,10000,15000,1,1,0.060352
seq,100000,15000,1,1,0.818413
seq,1000000,15000,1,1,24.548415
seq,2500000,15000,1,1,78.383425
seq,4000000,15000,1,1,119.020158
seq,6000000,15000,1,1,167.539699
seq,10000,15000,1,2,0.062616
seq,100000,15000,1,2,0.767838
seq,1000000,15000,1,2,21.435174
seq,2500000,15000,1,2,67.224053
seq,4000000,15000,1,2,106.406398
seq,6000000,15000,1,2,163.115711
seq,10000,15000,1,3,0.061479
seq,100000,15000,1,3,0.763002
seq,1000000,15000,1,3,21.545729
seq,2500000,15000,1,3,67.090762
seq,4000000,15000,1,3,104.492896
seq,6000000,15000,1,3,159.769246
seq,10000,15000,1,4,0.069775
seq,100000,15000,1,4,0.801147
seq,1000000,15000,1,4,22.900692
seq,2500000,15000,1,4,62.986485
seq,4000000,15000,1,4,103.969503
seq,6000000,15000,1,4,159.543459
seq,10000,15000,1,5,0.059046
seq,100000,15000,1,5,0.766673
seq,1000000,15000,1,5,20.561196
seq,2500000,15000,1,5,62.429807
seq,4000000,15000,1,5,106.559904
seq,6000000,15000,1,5,163.645353
seq,10000,15000,1,6,0.068421
seq,100000,15000,1,6,0.837647
seq,1000000,15000,1,6,21.598350
seq,2500000,15000,1,6,65.281736
seq,4000000,15000,1,6,105.936455
seq,6000000,15000,1,6,163.225676
seq,10000,15000,1,7,0.066085
seq,100000,15000,1,7,0.826997
seq,1000000,15000,1,7,21.188155
seq,2500000,15000,1,7,63.686183
seq,4000000,15000,1,7,106.100178
seq,6000000,15000,1,7,159.679648
seq,10000,15000,1,8,0.068565
seq,100000,15000,1,8,0.762751
seq,1000000,15000,1,8,21.304342
seq,2500000,15000,1,8,63.733520
seq,4000000,15000,1,8,106.172493
seq,6000000,15000,1,8,164.334737
seq,10000,15000,1,9,0.066429
seq,100000,15000,1,9,0.797366
seq,1000000,15000,1,9,21.559945
seq,2500000,15000,1,9,64.876917
seq,4000000,15000,1,9,107.310461
seq,6000000,15000,1,9,164.401679
seq,10000,15000,1,10,0.062813
seq,100000,15000,1,10,0.776055
seq,1000000,15000,1,10,20.852468
seq,2500000,15000,1,10,62.738502
seq,4000000,15000,1,10,104.225871
seq,6000000,15000,1,10,159.309161
