implementation,n,nsweeps,workers,iteration,time_s
seq_mem,1025,15000,1,1,0.068587
seq_mem,4097,15000,1,1,0.258547
seq_mem,16385,15000,1,1,1.024954
seq_mem,131073,15000,1,1,8.243893
seq_mem,1048577,15000,1,1,66.566029
seq_mem,4194305,15000,1,1,340.338894
seq_mem,1025,15000,1,2,0.069472
seq_mem,4097,15000,1,2,0.251479
seq_mem,16385,15000,1,2,0.981481
seq_mem,131073,15000,1,2,7.921209
seq_mem,1048577,15000,1,2,63.726894
seq_mem,4194305,15000,1,2,326.774677
seq_mem,1025,15000,1,3,0.067192
seq_mem,4097,15000,1,3,0.250336
seq_mem,16385,15000,1,3,0.983385
seq_mem,131073,15000,1,3,7.944996
seq_mem,1048577,15000,1,3,64.710787
seq_mem,4194305,15000,1,3,308.713092
seq_mem,1025,15000,1,4,0.069491
seq_mem,4097,15000,1,4,0.252489
seq_mem,16385,15000,1,4,0.981991
seq_mem,131073,15000,1,4,7.921310
seq_mem,1048577,15000,1,4,63.723334
seq_mem,4194305,15000,1,4,321.778817
seq_mem,1025,15000,1,5,0.065292
seq_mem,4097,15000,1,5,0.260536
seq_mem,16385,15000,1,5,0.981365
seq_mem,131073,15000,1,5,8.004096
seq_mem,1048577,15000,1,5,65.770897
seq_mem,4194305,15000,1,5,318.723132
