implementation,n,nsweeps,workers,iteration,time_s
seq_o3,1025,15000,1,1,0.014448
seq_o3,4097,15000,1,1,0.055434
seq_o3,16385,15000,1,1,0.213125
seq_o3,131073,15000,1,1,1.795409
seq_o3,1048577,15000,1,1,19.346675
seq_o3,4194305,15000,1,1,111.700832
seq_o3,1025,15000,1,2,0.015581
seq_o3,4097,15000,1,2,0.057443
seq_o3,16385,15000,1,2,0.210614
seq_o3,131073,15000,1,2,1.811627
seq_o3,1048577,15000,1,2,19.539070
seq_o3,4194305,15000,1,2,112.036261
seq_o3,1025,15000,1,3,0.014451
seq_o3,4097,15000,1,3,0.055799
seq_o3,16385,15000,1,3,0.212489
seq_o3,131073,15000,1,3,1.811807
seq_o3,1048577,15000,1,3,19.610221
seq_o3,4194305,15000,1,3,105.078827
seq_o3,1025,15000,1,4,0.015391
seq_o3,4097,15000,1,4,0.059443
seq_o3,16385,15000,1,4,0.210714
seq_o3,131073,15000,1,4,1.815627
seq_o3,1048577,15000,1,4,18.530070
seq_o3,4194305,15000,1,4,113.036961
seq_o3,1025,15000,1,5,0.014521
seq_o3,4097,15000,1,5,0.054979
seq_o3,16385,15000,1,5,0.212579
seq_o3,131073,15000,1,5,1.821817
seq_o3,1048577,15000,1,5,20.612321
seq_o3,4194305,15000,1,5,104.088927
