implementation,n,nsweeps,workers,avg_s,seq_avg_s,speedup,efficiency
threads,10000,15000,2,0.0650102,0.0645581,0.993046,0.496523
threads,10000,15000,4,0.0747357,0.0645581,0.863819,0.215955
threads,10000,15000,8,0.110036,0.0645581,0.586700,0.073337
threads,10000,15000,16,0.277973,0.0645581,0.232246,0.014515
threads,10000,15000,32,0.50222,0.0645581,0.128545,0.004017
threads,100000,15000,2,0.413771,0.791789,1.913592,0.956796
threads,100000,15000,4,0.311456,0.791789,2.542218,0.635554
threads,100000,15000,8,0.333509,0.791789,2.374116,0.296764
threads,100000,15000,16,0.523479,0.791789,1.512552,0.094534
threads,100000,15000,32,0.798821,0.791789,0.991197,0.030975
threads,1000000,15000,2,396.946,21.7494,0.054792,0.027396
threads,1000000,15000,4,22.2328,21.7494,0.978257,0.244564
threads,1000000,15000,8,23.9664,21.7494,0.907495,0.113437
threads,1000000,15000,16,24.1704,21.7494,0.899836,0.056240
threads,1000000,15000,32,25.4077,21.7494,0.856016,0.026751
threads,2500000,15000,2,369.566,65.8431,0.178163,0.089082
threads,2500000,15000,4,66.3395,65.8431,0.992517,0.248129
threads,2500000,15000,8,70.4091,65.8431,0.935150,0.116894
threads,2500000,15000,16,70.9423,65.8431,0.928122,0.058008
threads,2500000,15000,32,71.6881,65.8431,0.918466,0.028702
threads,4000000,15000,2,113.76,107.019,0.940744,0.470372
threads,4000000,15000,4,109.101,107.019,0.980917,0.245229
threads,4000000,15000,8,117.351,107.019,0.911956,0.113995
threads,4000000,15000,16,116.805,107.019,0.916219,0.057264
threads,4000000,15000,32,117.667,107.019,0.909507,0.028422
threads,6000000,15000,2,161.807,162.456,1.004011,0.502005
threads,6000000,15000,4,373.931,162.456,0.434454,0.108614
threads,6000000,15000,8,178.788,162.456,0.908652,0.113581
threads,6000000,15000,16,177.893,162.456,0.913223,0.057076
threads,6000000,15000,32,1368.04,162.456,0.118751,0.003711
