Variante,N=1025 (k=10),N=4097 (k=12),N=16385 (k=14),N=131073 (k=17),N=1048577 (k=20),N=4194305 (k=22)
seq,0.076063,0.287930,1.151780,9.163091,72.641119,374.357629
seq_mem,0.068007,0.254677,0.990635,8.007101,64.899588,323.265722
seq_o3,0.014878,0.056620,0.211904,1.811257,19.527671,109.188362
threads_2,0.151382,0.272332,0.794619,5.666379,44.045624,229.339345
threads_4,0.147416,0.214867,0.498654,2.988850,23.641465,136.805181
threads_8,0.175167,0.213914,0.439745,2.491100,15.692909,111.267012
threads_16,0.257346,0.344060,0.534235,2.289760,15.588762,113.846659
processes_2,0.167135,0.341426,0.816240,5.470049,41.333288,232.948202
processes_4,0.171955,0.245166,0.497488,2.975798,22.488985,122.603354
processes_8,0.199347,0.258680,0.448028,2.207879,15.410515,96.322685
processes_16,0.349658,0.354613,0.528909,2.177479,14.658510,83.332244
