Variante,N=1025 (k=10),N=4097 (k=12),N=16385 (k=14),N=131073 (k=17),N=1048577 (k=20),N=4194305 (k=22)
seq_mem,1.1185x,1.1306x,1.1627x,1.1444x,1.1193x,1.1580x
seq_o3,5.1123x,5.0853x,5.4354x,5.0590x,3.7199x,3.4285x
threads_2,0.5025x,1.0573x,1.4495x,1.6171x,1.6492x,1.6323x
threads_4,0.5160x,1.3400x,2.3098x,3.0658x,3.0726x,2.7364x
threads_8,0.4342x,1.3460x,2.6192x,3.6783x,4.6289x,3.3645x
threads_16,0.2956x,0.8369x,2.1559x,4.0018x,4.6598x,3.2883x
processes_2,0.4551x,0.8433x,1.4111x,1.6751x,1.7574x,1.6070x
processes_4,0.4423x,1.1744x,2.3152x,3.0792x,3.2301x,3.0534x
processes_8,0.3816x,1.1131x,2.5708x,4.1502x,4.7137x,3.8865x
processes_16,0.2175x,0.8120x,2.1777x,4.2081x,4.9556x,4.4924x
